datekey|data|ano|mes|trimestre|inicio_semana|range_semana|ano_mes|mes_ano|numero_semana|ano_mes_semana|dia_da_semana|dia_da_semana_completo|mes_texto|mes_texto_completo
63|2019-03-05 00:00:00|2,019|3|1|2019-03-04 00:00:00|(04/03 A 10/03)|2019/03|03/2019|1|2019/03 1|TER|TERÇA-FEIRA|MAR|MARÇO
64|2019-03-06 00:00:00|2,019|3|1|2019-03-04 00:00:00|(04/03 A 10/03)|2019/03|03/2019|1|2019/03 1|QUA|QUARTA-FEIRA|MAR|MARÇO
65|2019-03-07 00:00:00|2,019|3|1|2019-03-04 00:00:00|(04/03 A 10/03)|2019/03|03/2019|1|2019/03 1|QUI|QUINTA-FEIRA|MAR|MARÇO
66|2019-03-08 00:00:00|2,019|3|1|2019-03-04 00:00:00|(04/03 A 10/03)|2019/03|03/2019|1|2019/03 1|SEX|SEXTA-FEIRA|MAR|MARÇO
67|2019-03-09 00:00:00|2,019|3|1|2019-03-04 00:00:00|(04/03 A 10/03)|2019/03|03/2019|1|2019/03 1|SAB|SÁBADO|MAR|MARÇO
68|2019-03-10 00:00:00|2,019|3|1|2019-03-04 00:00:00|(04/03 A 10/03)|2019/03|03/2019|1|2019/03 1|DOM|DOMINGO|MAR|MARÇO
69|2019-03-11 00:00:00|2,019|3|1|2019-03-11 00:00:00|(11/03 A 17/03)|2019/03|03/2019|2|2019/03 2|SEG|SEGUNDA-FEIRA|MAR|MARÇO
70|2019-03-12 00:00:00|2,019|3|1|2019-03-11 00:00:00|(11/03 A 17/03)|2019/03|03/2019|2|2019/03 2|TER|TERÇA-FEIRA|MAR|MARÇO
71|2019-03-13 00:00:00|2,019|3|1|2019-03-11 00:00:00|(11/03 A 17/03)|2019/03|03/2019|2|2019/03 2|QUA|QUARTA-FEIRA|MAR|MARÇO
72|2019-03-14 00:00:00|2,019|3|1|2019-03-11 00:00:00|(11/03 A 17/03)|2019/03|03/2019|2|2019/03 2|QUI|QUINTA-FEIRA|MAR|MARÇO
73|2019-03-15 00:00:00|2,019|3|1|2019-03-11 00:00:00|(11/03 A 17/03)|2019/03|03/2019|2|2019/03 2|SEX|SEXTA-FEIRA|MAR|MARÇO
74|2019-03-16 00:00:00|2,019|3|1|2019-03-11 00:00:00|(11/03 A 17/03)|2019/03|03/2019|2|2019/03 2|SAB|SÁBADO|MAR|MARÇO
75|2019-03-17 00:00:00|2,019|3|1|2019-03-11 00:00:00|(11/03 A 17/03)|2019/03|03/2019|2|2019/03 2|DOM|DOMINGO|MAR|MARÇO
76|2019-03-18 00:00:00|2,019|3|1|2019-03-18 00:00:00|(18/03 A 24/03)|2019/03|03/2019|3|2019/03 3|SEG|SEGUNDA-FEIRA|MAR|MARÇO
77|2019-03-19 00:00:00|2,019|3|1|2019-03-18 00:00:00|(18/03 A 24/03)|2019/03|03/2019|3|2019/03 3|TER|TERÇA-FEIRA|MAR|MARÇO
78|2019-03-20 00:00:00|2,019|3|1|2019-03-18 00:00:00|(18/03 A 24/03)|2019/03|03/2019|3|2019/03 3|QUA|QUARTA-FEIRA|MAR|MARÇO
79|2019-03-21 00:00:00|2,019|3|1|2019-03-18 00:00:00|(18/03 A 24/03)|2019/03|03/2019|3|2019/03 3|QUI|QUINTA-FEIRA|MAR|MARÇO
80|2019-03-22 00:00:00|2,019|3|1|2019-03-18 00:00:00|(18/03 A 24/03)|2019/03|03/2019|3|2019/03 3|SEX|SEXTA-FEIRA|MAR|MARÇO
81|2019-03-23 00:00:00|2,019|3|1|2019-03-18 00:00:00|(18/03 A 24/03)|2019/03|03/2019|3|2019/03 3|SAB|SÁBADO|MAR|MARÇO
82|2019-03-24 00:00:00|2,019|3|1|2019-03-18 00:00:00|(18/03 A 24/03)|2019/03|03/2019|3|2019/03 3|DOM|DOMINGO|MAR|MARÇO
83|2019-03-25 00:00:00|2,019|3|1|2019-03-25 00:00:00|(25/03 A 31/03)|2019/03|03/2019|4|2019/03 4|SEG|SEGUNDA-FEIRA|MAR|MARÇO
84|2019-03-26 00:00:00|2,019|3|1|2019-03-25 00:00:00|(25/03 A 31/03)|2019/03|03/2019|4|2019/03 4|TER|TERÇA-FEIRA|MAR|MARÇO
85|2019-03-27 00:00:00|2,019|3|1|2019-03-25 00:00:00|(25/03 A 31/03)|2019/03|03/2019|4|2019/03 4|QUA|QUARTA-FEIRA|MAR|MARÇO
86|2019-03-28 00:00:00|2,019|3|1|2019-03-25 00:00:00|(25/03 A 31/03)|2019/03|03/2019|4|2019/03 4|QUI|QUINTA-FEIRA|MAR|MARÇO
87|2019-03-29 00:00:00|2,019|3|1|2019-03-25 00:00:00|(25/03 A 31/03)|2019/03|03/2019|4|2019/03 4|SEX|SEXTA-FEIRA|MAR|MARÇO
88|2019-03-30 00:00:00|2,019|3|1|2019-03-25 00:00:00|(25/03 A 31/03)|2019/03|03/2019|4|2019/03 4|SAB|SÁBADO|MAR|MARÇO
89|2019-03-31 00:00:00|2,019|3|1|2019-03-25 00:00:00|(25/03 A 31/03)|2019/03|03/2019|4|2019/03 4|DOM|DOMINGO|MAR|MARÇO
90|2019-04-01 00:00:00|2,019|4|2|2019-04-01 00:00:00|(01/04 A 07/04)|2019/04|04/2019|1|2019/04 1|SEG|SEGUNDA-FEIRA|ABR|ABRIL
91|2019-04-02 00:00:00|2,019|4|2|2019-04-01 00:00:00|(01/04 A 07/04)|2019/04|04/2019|1|2019/04 1|TER|TERÇA-FEIRA|ABR|ABRIL
92|2019-04-03 00:00:00|2,019|4|2|2019-04-01 00:00:00|(01/04 A 07/04)|2019/04|04/2019|1|2019/04 1|QUA|QUARTA-FEIRA|ABR|ABRIL
93|2019-04-04 00:00:00|2,019|4|2|2019-04-01 00:00:00|(01/04 A 07/04)|2019/04|04/2019|1|2019/04 1|QUI|QUINTA-FEIRA|ABR|ABRIL
94|2019-04-05 00:00:00|2,019|4|2|2019-04-01 00:00:00|(01/04 A 07/04)|2019/04|04/2019|1|2019/04 1|SEX|SEXTA-FEIRA|ABR|ABRIL
95|2019-04-06 00:00:00|2,019|4|2|2019-04-01 00:00:00|(01/04 A 07/04)|2019/04|04/2019|1|2019/04 1|SAB|SÁBADO|ABR|ABRIL
96|2019-04-07 00:00:00|2,019|4|2|2019-04-01 00:00:00|(01/04 A 07/04)|2019/04|04/2019|1|2019/04 1|DOM|DOMINGO|ABR|ABRIL
97|2019-04-08 00:00:00|2,019|4|2|2019-04-08 00:00:00|(08/04 A 14/04)|2019/04|04/2019|2|2019/04 2|SEG|SEGUNDA-FEIRA|ABR|ABRIL
98|2019-04-09 00:00:00|2,019|4|2|2019-04-08 00:00:00|(08/04 A 14/04)|2019/04|04/2019|2|2019/04 2|TER|TERÇA-FEIRA|ABR|ABRIL
99|2019-04-10 00:00:00|2,019|4|2|2019-04-08 00:00:00|(08/04 A 14/04)|2019/04|04/2019|2|2019/04 2|QUA|QUARTA-FEIRA|ABR|ABRIL
100|2019-04-11 00:00:00|2,019|4|2|2019-04-08 00:00:00|(08/04 A 14/04)|2019/04|04/2019|2|2019/04 2|QUI|QUINTA-FEIRA|ABR|ABRIL
101|2019-04-12 00:00:00|2,019|4|2|2019-04-08 00:00:00|(08/04 A 14/04)|2019/04|04/2019|2|2019/04 2|SEX|SEXTA-FEIRA|ABR|ABRIL
102|2019-04-13 00:00:00|2,019|4|2|2019-04-08 00:00:00|(08/04 A 14/04)|2019/04|04/2019|2|2019/04 2|SAB|SÁBADO|ABR|ABRIL
103|2019-04-14 00:00:00|2,019|4|2|2019-04-08 00:00:00|(08/04 A 14/04)|2019/04|04/2019|2|2019/04 2|DOM|DOMINGO|ABR|ABRIL
104|2019-04-15 00:00:00|2,019|4|2|2019-04-15 00:00:00|(15/04 A 21/04)|2019/04|04/2019|3|2019/04 3|SEG|SEGUNDA-FEIRA|ABR|ABRIL
105|2019-04-16 00:00:00|2,019|4|2|2019-04-15 00:00:00|(15/04 A 21/04)|2019/04|04/2019|3|2019/04 3|TER|TERÇA-FEIRA|ABR|ABRIL
106|2019-04-17 00:00:00|2,019|4|2|2019-04-15 00:00:00|(15/04 A 21/04)|2019/04|04/2019|3|2019/04 3|QUA|QUARTA-FEIRA|ABR|ABRIL
107|2019-04-18 00:00:00|2,019|4|2|2019-04-15 00:00:00|(15/04 A 21/04)|2019/04|04/2019|3|2019/04 3|QUI|QUINTA-FEIRA|ABR|ABRIL
108|2019-04-19 00:00:00|2,019|4|2|2019-04-15 00:00:00|(15/04 A 21/04)|2019/04|04/2019|3|2019/04 3|SEX|SEXTA-FEIRA|ABR|ABRIL
109|2019-04-20 00:00:00|2,019|4|2|2019-04-15 00:00:00|(15/04 A 21/04)|2019/04|04/2019|3|2019/04 3|SAB|SÁBADO|ABR|ABRIL
110|2019-04-21 00:00:00|2,019|4|2|2019-04-15 00:00:00|(15/04 A 21/04)|2019/04|04/2019|3|2019/04 3|DOM|DOMINGO|ABR|ABRIL
111|2019-04-22 00:00:00|2,019|4|2|2019-04-22 00:00:00|(22/04 A 28/04)|2019/04|04/2019|4|2019/04 4|SEG|SEGUNDA-FEIRA|ABR|ABRIL
112|2019-04-23 00:00:00|2,019|4|2|2019-04-22 00:00:00|(22/04 A 28/04)|2019/04|04/2019|4|2019/04 4|TER|TERÇA-FEIRA|ABR|ABRIL
113|2019-04-24 00:00:00|2,019|4|2|2019-04-22 00:00:00|(22/04 A 28/04)|2019/04|04/2019|4|2019/04 4|QUA|QUARTA-FEIRA|ABR|ABRIL
114|2019-04-25 00:00:00|2,019|4|2|2019-04-22 00:00:00|(22/04 A 28/04)|2019/04|04/2019|4|2019/04 4|QUI|QUINTA-FEIRA|ABR|ABRIL
115|2019-04-26 00:00:00|2,019|4|2|2019-04-22 00:00:00|(22/04 A 28/04)|2019/04|04/2019|4|2019/04 4|SEX|SEXTA-FEIRA|ABR|ABRIL
116|2019-04-27 00:00:00|2,019|4|2|2019-04-22 00:00:00|(22/04 A 28/04)|2019/04|04/2019|4|2019/04 4|SAB|SÁBADO|ABR|ABRIL
117|2019-04-28 00:00:00|2,019|4|2|2019-04-22 00:00:00|(22/04 A 28/04)|2019/04|04/2019|4|2019/04 4|DOM|DOMINGO|ABR|ABRIL
118|2019-04-29 00:00:00|2,019|4|2|2019-04-29 00:00:00|(29/04 A 05/05)|2019/04|04/2019|5|2019/04 5|SEG|SEGUNDA-FEIRA|ABR|ABRIL
119|2019-04-30 00:00:00|2,019|4|2|2019-04-29 00:00:00|(29/04 A 05/05)|2019/04|04/2019|5|2019/04 5|TER|TERÇA-FEIRA|ABR|ABRIL
120|2019-05-01 00:00:00|2,019|5|2|2019-04-29 00:00:00|(29/04 A 05/05)|2019/05|05/2019|5|2019/04 5|QUA|QUARTA-FEIRA|MAI|MAIO
121|2019-05-02 00:00:00|2,019|5|2|2019-04-29 00:00:00|(29/04 A 05/05)|2019/05|05/2019|5|2019/04 5|QUI|QUINTA-FEIRA|MAI|MAIO
122|2019-05-03 00:00:00|2,019|5|2|2019-04-29 00:00:00|(29/04 A 05/05)|2019/05|05/2019|5|2019/04 5|SEX|SEXTA-FEIRA|MAI|MAIO
123|2019-05-04 00:00:00|2,019|5|2|2019-04-29 00:00:00|(29/04 A 05/05)|2019/05|05/2019|5|2019/04 5|SAB|SÁBADO|MAI|MAIO
124|2019-05-05 00:00:00|2,019|5|2|2019-04-29 00:00:00|(29/04 A 05/05)|2019/05|05/2019|5|2019/04 5|DOM|DOMINGO|MAI|MAIO
125|2019-05-06 00:00:00|2,019|5|2|2019-05-06 00:00:00|(06/05 A 12/05)|2019/05|05/2019|1|2019/05 1|SEG|SEGUNDA-FEIRA|MAI|MAIO
126|2019-05-07 00:00:00|2,019|5|2|2019-05-06 00:00:00|(06/05 A 12/05)|2019/05|05/2019|1|2019/05 1|TER|TERÇA-FEIRA|MAI|MAIO
127|2019-05-08 00:00:00|2,019|5|2|2019-05-06 00:00:00|(06/05 A 12/05)|2019/05|05/2019|1|2019/05 1|QUA|QUARTA-FEIRA|MAI|MAIO
128|2019-05-09 00:00:00|2,019|5|2|2019-05-06 00:00:00|(06/05 A 12/05)|2019/05|05/2019|1|2019/05 1|QUI|QUINTA-FEIRA|MAI|MAIO
129|2019-05-10 00:00:00|2,019|5|2|2019-05-06 00:00:00|(06/05 A 12/05)|2019/05|05/2019|1|2019/05 1|SEX|SEXTA-FEIRA|MAI|MAIO
130|2019-05-11 00:00:00|2,019|5|2|2019-05-06 00:00:00|(06/05 A 12/05)|2019/05|05/2019|1|2019/05 1|SAB|SÁBADO|MAI|MAIO
131|2019-05-12 00:00:00|2,019|5|2|2019-05-06 00:00:00|(06/05 A 12/05)|2019/05|05/2019|1|2019/05 1|DOM|DOMINGO|MAI|MAIO
132|2019-05-13 00:00:00|2,019|5|2|2019-05-13 00:00:00|(13/05 A 19/05)|2019/05|05/2019|2|2019/05 2|SEG|SEGUNDA-FEIRA|MAI|MAIO
133|2019-05-14 00:00:00|2,019|5|2|2019-05-13 00:00:00|(13/05 A 19/05)|2019/05|05/2019|2|2019/05 2|TER|TERÇA-FEIRA|MAI|MAIO
134|2019-05-15 00:00:00|2,019|5|2|2019-05-13 00:00:00|(13/05 A 19/05)|2019/05|05/2019|2|2019/05 2|QUA|QUARTA-FEIRA|MAI|MAIO
135|2019-05-16 00:00:00|2,019|5|2|2019-05-13 00:00:00|(13/05 A 19/05)|2019/05|05/2019|2|2019/05 2|QUI|QUINTA-FEIRA|MAI|MAIO
136|2019-05-17 00:00:00|2,019|5|2|2019-05-13 00:00:00|(13/05 A 19/05)|2019/05|05/2019|2|2019/05 2|SEX|SEXTA-FEIRA|MAI|MAIO
137|2019-05-18 00:00:00|2,019|5|2|2019-05-13 00:00:00|(13/05 A 19/05)|2019/05|05/2019|2|2019/05 2|SAB|SÁBADO|MAI|MAIO
138|2019-05-19 00:00:00|2,019|5|2|2019-05-13 00:00:00|(13/05 A 19/05)|2019/05|05/2019|2|2019/05 2|DOM|DOMINGO|MAI|MAIO
139|2019-05-20 00:00:00|2,019|5|2|2019-05-20 00:00:00|(20/05 A 26/05)|2019/05|05/2019|3|2019/05 3|SEG|SEGUNDA-FEIRA|MAI|MAIO
140|2019-05-21 00:00:00|2,019|5|2|2019-05-20 00:00:00|(20/05 A 26/05)|2019/05|05/2019|3|2019/05 3|TER|TERÇA-FEIRA|MAI|MAIO
141|2019-05-22 00:00:00|2,019|5|2|2019-05-20 00:00:00|(20/05 A 26/05)|2019/05|05/2019|3|2019/05 3|QUA|QUARTA-FEIRA|MAI|MAIO
142|2019-05-23 00:00:00|2,019|5|2|2019-05-20 00:00:00|(20/05 A 26/05)|2019/05|05/2019|3|2019/05 3|QUI|QUINTA-FEIRA|MAI|MAIO
143|2019-05-24 00:00:00|2,019|5|2|2019-05-20 00:00:00|(20/05 A 26/05)|2019/05|05/2019|3|2019/05 3|SEX|SEXTA-FEIRA|MAI|MAIO
144|2019-05-25 00:00:00|2,019|5|2|2019-05-20 00:00:00|(20/05 A 26/05)|2019/05|05/2019|3|2019/05 3|SAB|SÁBADO|MAI|MAIO
145|2019-05-26 00:00:00|2,019|5|2|2019-05-20 00:00:00|(20/05 A 26/05)|2019/05|05/2019|3|2019/05 3|DOM|DOMINGO|MAI|MAIO
146|2019-05-27 00:00:00|2,019|5|2|2019-05-27 00:00:00|(27/05 A 02/06)|2019/05|05/2019|4|2019/05 4|SEG|SEGUNDA-FEIRA|MAI|MAIO
147|2019-05-28 00:00:00|2,019|5|2|2019-05-27 00:00:00|(27/05 A 02/06)|2019/05|05/2019|4|2019/05 4|TER|TERÇA-FEIRA|MAI|MAIO
